wijk,gem_inkomen,gem_inkomen_per_maand,stadsdeel,huurprijs,Rent_burden
Houthavens,61,5083.333333333333,West,859,16.898360655737708
Spaarndammer- en Zeeheldenbuurt,33.8,2816.6666666666665,West,859,30.497041420118343
Staatsliedenbuurt,37.9,3158.3333333333335,West,859,27.197889182058045
Centrale Markt,38.3,3191.6666666666665,West,859,26.913838120104437
Frederik Hendrikbuurt,40.7,3391.6666666666665,West,859,25.32678132678133
Da Costabuurt,45.4,3783.3333333333335,West,859,22.704845814977972
Kinkerbuurt,42,3500,West,859,24.542857142857144
Van Lennepbuurt,35.7,2975,West,859,28.87394957983193
Helmersbuurt,50.2,4183.333333333333,West,859,20.53386454183267
Overtoomse Sluis,49.2,4100,West,859,20.95121951219512
Vondelbuurt,69.2,5766.666666666667,West,859,14.895953757225433
Sloterdijk,48.2,4016.6666666666665,West,859,21.38589211618257
Landlust,32.5,2708.3333333333335,West,859,31.716923076923077
Erasmuspark,37.2,3100,West,859,27.70967741935484
De Kolenkit,28.3,2358.3333333333335,West,859,36.42402826855123
Geuzenbuurt,39,3250,West,859,26.43076923076923
Van Galenbuurt,31.3,2608.3333333333335,West,859,32.93290734824281
Hoofdweg e.o.,34.1,2841.6666666666665,West,859,30.228739002932553
Westindische Buurt,41.9,3491.6666666666665,West,859,24.60143198090692
Chassébuurt,35.5,2958.3333333333335,West,859,29.036619718309858
Zuidas,68.2,5683.333333333333,Zuid,966,16.997067448680355
Oude Pijp,43.5,3625,Zuid,966,26.648275862068964
Nieuwe Pijp,41.8,3483.3333333333335,Zuid,966,27.732057416267942
Zuid Pijp,30.7,2558.3333333333335,Zuid,966,37.758957654723126
Hoofddorppleinbuurt,47.2,3933.3333333333335,Zuid,966,24.559322033898304
Schinkelbuurt,44.6,3716.6666666666665,Zuid,966,25.991031390134527
Willemspark,102,8500,Zuid,966,11.36470588235294
Museumkwartier,81.9,6825,Zuid,966,14.153846153846153
Stadionbuurt,43.8,3650,Zuid,966,26.465753424657535
Apollobuurt,89.7,7475,Zuid,966,12.923076923076923
Scheldebuurt,49.9,4158.333333333333,Zuid,966,23.23046092184369
IJselbuurt,37,3083.3333333333335,Zuid,966,31.329729729729728
Rijnbuurt,39.3,3275,Zuid,966,29.496183206106867
Prinses Irenebuurt e.o.,74.7,6225,Zuid,966,15.518072289156626
Buitenveldert-West,46.4,3866.6666666666665,Zuid,966,24.98275862068966
Buitenveldert-Oost,42.1,3508.3333333333335,Zuid,966,27.53444180522565
